,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,Reporting Type,Observation Status,Impact Type,Bioclimatic Belt,ISOalpha3,Type,SeriesCode
10,1,Proportion of degraded mountain land,004,AFG,2018,226.14389775781254,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Remaining mountain area,,Region,XXXX
11,1,Proportion of degraded mountain land,004,AFG,2018,94647.5537645659,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Remaining mountain area,,Region,XXXX
12,1,Proportion of degraded mountain land,004,AFG,2018,308.79119026544095,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Remaining mountain area,,Region,XXXX
3,1,Proportion of degraded mountain land,004,AFG,2018,95182.48885258916,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,004,AFG,2018,1881.9432979583303,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,004,AFG,2018,397215.8477435093,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
2,1,Proportion of degraded mountain land,004,AFG,2018,425.64472140376813,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Total,,Region,XXXX
13,1,Proportion of degraded mountain land,024,AGO,2015,4770.086178249983,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Remaining mountain area,,Region,XXXX
14,1,Proportion of degraded mountain land,024,AGO,2015,153755.657446816,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Remaining mountain area,,Region,XXXX
15,1,Proportion of degraded mountain land,024,AGO,2015,1412.6488462918824,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,024,AGO,2015,159938.39247135786,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,024,AGO,2015,4770.086178249983,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,024,AGO,2015,153755.657446816,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
2,1,Proportion of degraded mountain land,024,AGO,2015,1412.6488462918824,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Total,,Region,XXXX
14,1,Proportion of degraded mountain land,024,AGO,2018,437.2121949140636,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Remaining mountain area,,Region,XXXX
15,1,Proportion of degraded mountain land,024,AGO,2018,159009.85707017922,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Remaining mountain area,,Region,XXXX
16,1,Proportion of degraded mountain land,024,AGO,2018,491.3232062652268,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,024,AGO,2018,159938.3924713585,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,024,AGO,2018,437.2121949140636,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,024,AGO,2018,159009.85707017922,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
2,1,Proportion of degraded mountain land,024,AGO,2018,491.3232062652268,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Total,,Region,XXXX
19,1,Proportion of degraded mountain land,008,ALB,2015,12.879970398468135,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Alpine,,Region,XXXX
0,1,Proportion of degraded mountain land,008,ALB,2015,12.879970398468135,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Alpine,,Region,XXXX
20,1,Proportion of degraded mountain land,008,ALB,2015,136.91261055389046,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Montane,,Region,XXXX
21,1,Proportion of degraded mountain land,008,ALB,2015,19232.900475573282,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Montane,,Region,XXXX
22,1,Proportion of degraded mountain land,008,ALB,2015,663.6617074594427,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Montane,,Region,XXXX
1,1,Proportion of degraded mountain land,008,ALB,2015,20033.474793586614,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Montane,,Region,XXXX
23,1,Proportion of degraded mountain land,008,ALB,2015,0.2145089296875,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Remaining mountain area,,Region,XXXX
24,1,Proportion of degraded mountain land,008,ALB,2015,218.88000896384855,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Remaining mountain area,,Region,XXXX
25,1,Proportion of degraded mountain land,008,ALB,2015,2.0048139453125,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Remaining mountain area,,Region,XXXX
2,1,Proportion of degraded mountain land,008,ALB,2015,221.09933183884854,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,008,ALB,2015,137.12711948357796,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,008,ALB,2015,19464.6604549356,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
2,1,Proportion of degraded mountain land,008,ALB,2015,665.6665214047553,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Total,,Region,XXXX
20,1,Proportion of degraded mountain land,008,ALB,2018,12.145745144791663,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Alpine,,Region,XXXX
21,1,Proportion of degraded mountain land,008,ALB,2018,0.7342252536764705,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Alpine,,Region,XXXX
0,1,Proportion of degraded mountain land,008,ALB,2018,12.879970398468133,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Alpine,,Region,XXXX
22,1,Proportion of degraded mountain land,008,ALB,2018,13.9977833984375,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Montane,,Region,XXXX
23,1,Proportion of degraded mountain land,008,ALB,2018,19722.514980323605,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Montane,,Region,XXXX
24,1,Proportion of degraded mountain land,008,ALB,2018,296.9620298649516,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Montane,,Region,XXXX
1,1,Proportion of degraded mountain land,008,ALB,2018,20033.474793586996,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Montane,,Region,XXXX
25,1,Proportion of degraded mountain land,008,ALB,2018,0.072750734375,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Remaining mountain area,,Region,XXXX
26,1,Proportion of degraded mountain land,008,ALB,2018,208.38412885447337,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Remaining mountain area,,Region,XXXX
27,1,Proportion of degraded mountain land,008,ALB,2018,12.64245224999999,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Remaining mountain area,,Region,XXXX
2,1,Proportion of degraded mountain land,008,ALB,2018,221.09933183884837,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,008,ALB,2018,14.070534132812499,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,008,ALB,2018,19943.04485432287,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
2,1,Proportion of degraded mountain land,008,ALB,2018,310.33870736862804,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Total,,Region,XXXX
27,1,Proportion of degraded mountain land,020,AND,2015,1.2679880468749998,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Alpine,,Region,XXXX
28,1,Proportion of degraded mountain land,020,AND,2015,145.6254024356005,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Alpine,,Region,XXXX
29,1,Proportion of degraded mountain land,020,AND,2015,0.7033694296875002,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Alpine,,Region,XXXX
0,1,Proportion of degraded mountain land,020,AND,2015,147.596759912163,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Alpine,,Region,XXXX
30,1,Proportion of degraded mountain land,020,AND,2015,1.6198580078125,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Montane,,Region,XXXX
31,1,Proportion of degraded mountain land,020,AND,2015,314.03787389963304,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Montane,,Region,XXXX
32,1,Proportion of degraded mountain land,020,AND,2015,1.1434221686274508,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Montane,,Region,XXXX
1,1,Proportion of degraded mountain land,020,AND,2015,316.80115407607303,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Montane,,Region,XXXX
0,1,Proportion of degraded mountain land,020,AND,2015,2.8878460546874996,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,020,AND,2015,459.66327633523355,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
2,1,Proportion of degraded mountain land,020,AND,2015,1.846791598314951,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Total,,Region,XXXX
29,1,Proportion of degraded mountain land,020,AND,2018,0.070375875,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Alpine,,Region,XXXX
30,1,Proportion of degraded mountain land,020,AND,2018,147.526384037163,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Alpine,,Region,XXXX
0,1,Proportion of degraded mountain land,020,AND,2018,147.596759912163,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Alpine,,Region,XXXX
31,1,Proportion of degraded mountain land,020,AND,2018,1.5483247578125,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Montane,,Region,XXXX
32,1,Proportion of degraded mountain land,020,AND,2018,315.25282931826035,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Montane,,Region,XXXX
1,1,Proportion of degraded mountain land,020,AND,2018,316.80115407607286,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Montane,,Region,XXXX
0,1,Proportion of degraded mountain land,020,AND,2018,1.6187006328125,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,020,AND,2018,462.7792133554234,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
34,1,Proportion of degraded mountain land,784,ARE,2015,6.644571390625,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Remaining mountain area,,Region,XXXX
35,1,Proportion of degraded mountain land,784,ARE,2015,2516.6615422260143,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Remaining mountain area,,Region,XXXX
36,1,Proportion of degraded mountain land,784,ARE,2015,15.833093468750006,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,784,ARE,2015,2539.1392070853894,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,784,ARE,2015,6.644571390625,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,784,ARE,2015,2516.6615422260143,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
2,1,Proportion of degraded mountain land,784,ARE,2015,15.833093468750006,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Total,,Region,XXXX
34,1,Proportion of degraded mountain land,784,ARE,2018,4.5729884609375,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Remaining mountain area,,Region,XXXX
35,1,Proportion of degraded mountain land,784,ARE,2018,2534.566218624453,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,784,ARE,2018,2539.139207085391,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,784,ARE,2018,4.5729884609375,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,784,ARE,2018,2534.566218624453,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
40,1,Proportion of degraded mountain land,032,ARG,2015,820.6845566425089,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Alpine,,Region,XXXX
41,1,Proportion of degraded mountain land,032,ARG,2015,106231.16546490579,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Alpine,,Region,XXXX
42,1,Proportion of degraded mountain land,032,ARG,2015,1210.3418777251118,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Alpine,,Region,XXXX
1,1,Proportion of degraded mountain land,032,ARG,2015,108262.1918992734,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Alpine,,Region,XXXX
43,1,Proportion of degraded mountain land,032,ARG,2015,2760.0496572412535,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Montane,,Region,XXXX
44,1,Proportion of degraded mountain land,032,ARG,2015,402306.49154640036,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Montane,,Region,XXXX
45,1,Proportion of degraded mountain land,032,ARG,2015,3380.0685270068325,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Montane,,Region,XXXX
2,1,Proportion of degraded mountain land,032,ARG,2015,408446.60973064846,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Montane,,Region,XXXX
37,1,Proportion of degraded mountain land,032,ARG,2015,94.47992252026651,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Nival,,Region,XXXX
38,1,Proportion of degraded mountain land,032,ARG,2015,14350.495547445375,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Nival,,Region,XXXX
39,1,Proportion of degraded mountain land,032,ARG,2015,55.79158347305458,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Nival,,Region,XXXX
0,1,Proportion of degraded mountain land,032,ARG,2015,14500.767053438694,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Nival,,Region,XXXX
46,1,Proportion of degraded mountain land,032,ARG,2015,2315.879656550813,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Remaining mountain area,,Region,XXXX
47,1,Proportion of degraded mountain land,032,ARG,2015,107998.61398682173,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Remaining mountain area,,Region,XXXX
48,1,Proportion of degraded mountain land,032,ARG,2015,872.1910574532178,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Remaining mountain area,,Region,XXXX
3,1,Proportion of degraded mountain land,032,ARG,2015,111186.68470082576,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,032,ARG,2015,5991.093792954842,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,032,ARG,2015,630886.7665455732,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Total,,Region,XXXX
2,1,Proportion of degraded mountain land,032,ARG,2015,5518.393045658217,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Total,,Region,XXXX
39,1,Proportion of degraded mountain land,032,ARG,2018,160.60402938570775,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Alpine,,Region,XXXX
40,1,Proportion of degraded mountain land,032,ARG,2018,107595.4406182009,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Alpine,,Region,XXXX
41,1,Proportion of degraded mountain land,032,ARG,2018,506.1472516869331,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Alpine,,Region,XXXX
1,1,Proportion of degraded mountain land,032,ARG,2018,108262.19189927354,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Alpine,,Region,XXXX
42,1,Proportion of degraded mountain land,032,ARG,2018,710.3733938577352,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Montane,,Region,XXXX
43,1,Proportion of degraded mountain land,032,ARG,2018,406767.8919713886,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Stable,Montane,,Region,XXXX
44,1,Proportion of degraded mountain land,032,ARG,2018,968.3443654041371,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Improving,Montane,,Region,XXXX
2,1,Proportion of degraded mountain land,032,ARG,2018,408446.6097306505,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,All,Montane,,Region,XXXX
36,1,Proportion of degraded mountain land,032,ARG,2018,7.682176861703432,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,KM2_PA,G,A,Degradation,Nival,,Region,XXXX
